manufacturer,category,website,origin,has_prices,data_type,scrape,notes
Godrej Interio,office furniture / seating / workstations / storage / soft seating,https://interio.com/business/workspace,Indian,yes,shopify-js,easy,"INR prices + images + material specs; breakout seating ₹26k–1.03L"
Featherlite,office furniture / seating / soft seating / workstations,https://www.featherlitefurniture.com/,Indian,partial,static+pdf,medium,"catalogs on corp site; prices on separate featherlitestore.com"
Geeken Furniture,seating / workstations,https://geeken.in/,Indian,no,js+pdf,medium,"1100+ products; catalogue PDFs in resources; B2B quote"
Wipro Furniture,office / institutional furniture,https://www.wiprofurniture.in/,Indian,no,js / bot-blocked,hard,"LIVO range + overview catalog PDF; site bot-blocks automated fetch"
Nilkamal Furniture,office chairs / furniture / storage,https://www.nilkamalfurniture.com/collections/office-chairs,Indian,yes,shopify-json,easy,"60+ chairs with INR prices; Shopify — products.json available"
Nilkamal Edge,office / healthcare / education furniture,https://www.nilkamaledge.com/,Indian,no,shopify,medium,"B2B identity; catalog link; no prices on this site"
Durian,office furniture / desks / chairs,https://www.durian.in/buy-furniture/office-furniture,Indian,yes,js-ecom,easy,"ergonomic chairs + desks with INR prices + reviews"
Human Method Ergo (Bluebell),executive / ergonomic seating,https://www.humanmethodergo.com/,Indian,yes,js-ecom,easy,"bluebellergonomics.com redirects here; INR prices"
Methodex Systems,seating / workstations,https://www.methodexsystems.com/,Indian,no,thin / indiamart,hard,"thin homepage; deeper data on IndiaMART/TradeIndia"
Transteel,seating / workstations,https://workstation.transteel.com/,Indian,no,static+pdf,easy,"RICH: 2023 catalogue PDF + dimensions (1200x600mm) + materials"
Spacewood (SOS / BURO),workstations / seating / storage,https://www.sosoffice.in/,Indian,no,static+pdf,medium,"brochures + user guides + shade palettes; no prices"
Steelcase India,seating / workstations,https://in.steelcase.com/,Global-India,yes,shopify,easy,"INR prices (Gesture ₹128,000); product specs; Shopify"
Herman Miller India,seating / workstations / lounge,https://www.hermanmiller.com/en_in/,Global-India,no,js,medium,"deep specs/dimensions per product; dealer-quoted prices"
Haworth India,seating / workstations,https://in.shopping.haworth.com/,Global-India,yes,shopify,easy,"Fern/Zody/Very; sale pricing; Shopify"
S Cube Ergonomics (Humanscale),seating / sit-stand / monitor arms,https://www.scube-ergo.com/,Global-India,yes,static-ecom,easy,"Humanscale distributor; INR prices"
Knoll (MillerKnoll),seating / workstations,https://www.knoll.com/,Global-India,no,js,hard,"no India storefront; sold via MillerKnoll dealers; US specs"
Zuari Furniture,office furniture,https://zuarifurniture.in/,Indian,no,js / empty,hard,"real (Chennai); homepage empty to fetch; sells via Amazon/Pepperfry"
Usha Shriram,steel office furniture / storage,https://www.usha.in/,Indian,no,static / quote,hard,"Estelo steel line via IndiaMART dealer; thin brand site"
Kian Falcon,contract office furniture,https://kianfalcon.co/,Global-India,no,static,medium,"Faridabad plant; portfolio + catalogs behind clicks"
Damro,office furniture / steel storage,https://www.damroindia.com/office-furniture.html,Global-India,no,static / bot-blocked,hard,"large catalog; bot-blocks (403)"
HNI India (Kokuyo),modular office furniture,https://estore.hni-india.com/,Global-India,partial,js-heavy,medium,"Nagpur plant; e-store implies prices; heavy CDN"
Modi Furniture,office furniture / storage,https://www.modifurniture.com/,Indian,no,shopaccino-js,medium,"Jaipur; BIFMA/ISO certs; lazy-loaded images"
Inspace,office furniture / storage,https://www.inspaceindia.com/office-storage/,Indian,no,nextjs,medium,"Chennai; storage cabinets; prices on inquiry"
Alfa Furniture,office furniture / chairs / workstations,https://alfafurnituremart.com/,Indian,no,static+form,medium,"PDF portfolio via form; no on-page prices"
Narain Furniture,storage / lockers / pedestals,https://www.indiamart.com/narain-furniture/,Indian,no,indiamart,hard,"Delhi retailer (not mfr); IndiaMART quote model"
Wipro Seating Solutions,lounge / collaborative seating,https://wiproseatingsolutions.com/,Indian,no,js,medium,"images; no specs/prices"
AFC India,soft seating / lounge / sofa,https://www.afcindia.in/categories/soft-seating,Indian,no,static,hard,"category images only; thin"
Monarch Ergo,office sofas / soft seating / reception,https://www.monarchergo.com/seating-sofa,Indian,no,js,medium,"material guide; no prices/dimensions"
Stellar Global,sofas / phone booths / recliners,https://www.stellarglobal.com/india/,Global-India,no,static / gated,medium,"catalog gated behind request form"
Ergosphere,monitor arms / risers / accessories,https://ergosphere.in/,Indian,yes,static-ecom,easy,"INR prices; light spec depth"
Rife India,monitor arms / trays / sit-stand,https://www.rifeindia.com/,Indian,yes,shopify,easy,"INR prices; Shopify"
Power Bridge (Ergotron),monitor arms / sit-stand / AV,https://www.powerbridge.in/ergotron,Global-India,no,js,medium,"RICH in-page specs/dimensions; pricing on inquiry"
Prolegend India,monitor mounts / VESA arms,https://prolegendindia.com/,Indian,yes,static-ecom,easy,"INR prices"
